JobID|JobName|State|Start|End|NCPUS|CPUTime|Elapsed|MaxRSS|
1018738.batch|batch|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:02:07|4|00:26:48|00:06:42|662076K|
1018739|cromwell_65201559_fastp|COMPLETED|2020-03-21T17:55:25|2020-03-21T17:59:36|4|00:16:44|00:04:11||
1018739.batch|batch|COMPLETED|2020-03-21T17:55:25|2020-03-21T17:59:36|4|00:16:44|00:04:11|639372K|
1018740|cromwell_65201559_fastp|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:01:01|4|00:22:24|00:05:36||
1018740.batch|batch|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:01:01|4|00:22:24|00:05:36|653680K|
1018741|cromwell_70c46e42_fastp|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:01:58|4|00:26:12|00:06:33||
1018741.batch|batch|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:01:58|4|00:26:12|00:06:33|699288K|
1018742|cromwell_70c46e42_fastp|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:00:32|4|00:20:28|00:05:07||
1018742.batch|batch|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:00:32|4|00:20:28|00:05:07|701236K|
1018743|cromwell_70c46e42_fastp|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:00:53|4|00:21:52|00:05:28||
1018743.batch|batch|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:00:53|4|00:21:52|00:05:28|691336K|
1018744|cromwell_70c46e42_fastp|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:01:35|4|00:24:40|00:06:10||
1018744.batch|batch|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:01:35|4|00:24:40|00:06:10|752180K|
1018745|cromwell_70c46e42_fastp|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:01:14|4|00:23:16|00:05:49||
1018745.batch|batch|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:01:14|4|00:23:16|00:05:49|699164K|
1018746|cromwell_70c46e42_fastp|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:01:03|4|00:22:32|00:05:38||
1018746.batch|batch|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:01:03|4|00:22:32|00:05:38|683200K|
1018747|cromwell_70c46e42_fastp|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:00:24|4|00:19:56|00:04:59||
1018747.batch|batch|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:00:24|4|00:19:56|00:04:59|680712K|
1018748|cromwell_65201559_fastp|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:00:39|4|00:20:56|00:05:14||
1018748.batch|batch|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:00:39|4|00:20:56|00:05:14|660736K|
1018749|cromwell_70c46e42_fastp|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:01:12|4|00:23:08|00:05:47||
1018749.batch|batch|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:01:12|4|00:23:08|00:05:47|687416K|
1018750|cromwell_70c46e42_fastp|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:01:23|4|00:23:52|00:05:58||
1018750.batch|batch|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:01:23|4|00:23:52|00:05:58|729224K|
1018751|cromwell_a70c9b3e_star|COMPLETED|2020-03-21T17:56:18|2020-03-21T17:59:17|4|00:11:56|00:02:59||
1018751.batch|batch|COMPLETED|2020-03-21T17:56:18|2020-03-21T17:59:17|4|00:11:56|00:02:59|17054804K|
1018752|cromwell_a70c9b3e_star|COMPLETED|2020-03-21T17:56:34|2020-03-21T18:00:18|4|00:14:56|00:03:44||
1018752.batch|batch|COMPLETED|2020-03-21T17:56:34|2020-03-21T18:00:18|4|00:14:56|00:03:44|17115492K|
1018753|cromwell_a70c9b3e_star|COMPLETED|2020-03-21T17:56:44|2020-03-21T18:00:02|4|00:13:12|00:03:18||
1018753.batch|batch|COMPLETED|2020-03-21T17:56:44|2020-03-21T18:00:02|4|00:13:12|00:03:18|17039852K|
1018754|cromwell_a70c9b3e_star|COMPLETED|2020-03-21T17:56:47|2020-03-21T18:00:09|4|00:13:28|00:03:22||
1018754.batch|batch|COMPLETED|2020-03-21T17:56:47|2020-03-21T18:00:09|4|00:13:28|00:03:22|17075356K|
1018755|cromwell_a70c9b3e_star|COMPLETED|2020-03-21T17:56:47|2020-03-21T18:00:27|4|00:14:40|00:03:40||
1018755.batch|batch|COMPLETED|2020-03-21T17:56:47|2020-03-21T18:00:27|4|00:14:40|00:03:40|17086752K|
1018756|cromwell_a70c9b3e_star|COMPLETED|2020-03-21T17:56:47|2020-03-21T18:00:11|4|00:13:36|00:03:24||
1018756.batch|batch|COMPLETED|2020-03-21T17:56:47|2020-03-21T18:00:11|4|00:13:36|00:03:24|17060892K|
1018757|cromwell_34f71004_star|COMPLETED|2020-03-21T17:57:15|2020-03-21T18:02:50|4|00:22:20|00:05:35||
1018757.batch|batch|COMPLETED|2020-03-21T17:57:15|2020-03-21T18:02:50|4|00:22:20|00:05:35|17145108K|
1018758|cromwell_34f71004_star|COMPLETED|2020-03-21T17:57:28|2020-03-21T18:03:28|4|00:24:00|00:06:00||
1018758.batch|batch|COMPLETED|2020-03-21T17:57:28|2020-03-21T18:03:28|4|00:24:00|00:06:00|17145372K|
1018759|cromwell_34f71004_star|COMPLETED|2020-03-21T17:57:44|2020-03-21T18:04:47|4|00:28:12|00:07:03||
1018759.batch|batch|COMPLETED|2020-03-21T17:57:44|2020-03-21T18:04:47|4|00:28:12|00:07:03|17140888K|
1018760|cromwell_34f71004_star|COMPLETED|2020-03-21T17:57:47|2020-03-21T18:05:26|4|00:30:36|00:07:39||
1018760.batch|batch|COMPLETED|2020-03-21T17:57:47|2020-03-21T18:05:26|4|00:30:36|00:07:39|17145128K|
1018761|cromwell_34f71004_star|COMPLETED|2020-03-21T17:57:47|2020-03-21T18:04:40|4|00:27:32|00:06:53||
1018761.batch|batch|COMPLETED|2020-03-21T17:57:47|2020-03-21T18:04:40|4|00:27:32|00:06:53|17145348K|
1018762|cromwell_fe669ccb_star|COMPLETED|2020-03-21T17:58:01|2020-03-21T18:04:29|4|00:25:52|00:06:28||
1018762.batch|batch|COMPLETED|2020-03-21T17:58:01|2020-03-21T18:04:29|4|00:25:52|00:06:28|17145336K|
1018763|cromwell_fe669ccb_star|COMPLETED|2020-03-21T17:58:11|2020-03-21T18:04:40|4|00:25:56|00:06:29||
1018763.batch|batch|COMPLETED|2020-03-21T17:58:11|2020-03-21T18:04:40|4|00:25:56|00:06:29|17145092K|
1018764|cromwell_34f71004_star|COMPLETED|2020-03-21T17:58:19|2020-03-21T18:07:09|4|00:35:20|00:08:50||
1018764.batch|batch|COMPLETED|2020-03-21T17:58:19|2020-03-21T18:07:09|4|00:35:20|00:08:50|17145288K|
1018765|cromwell_fe669ccb_star|COMPLETED|2020-03-21T17:58:37|2020-03-21T18:06:28|4|00:31:24|00:07:51||
1018765.batch|batch|COMPLETED|2020-03-21T17:58:37|2020-03-21T18:06:28|4|00:31:24|00:07:51|17140860K|
1018766|cromwell_fe669ccb_star|COMPLETED|2020-03-21T17:59:05|2020-03-21T18:06:49|4|00:30:56|00:07:44||
1018766.batch|batch|COMPLETED|2020-03-21T17:59:05|2020-03-21T18:06:49|4|00:30:56|00:07:44|17140652K|
1018767|cromwell_fe669ccb_star|COMPLETED|2020-03-21T17:59:10|2020-03-21T18:08:20|4|00:36:40|00:09:10||
